Plant Category,Seed Name,Average Precipitation per day,Average Temperature (2 m),Average Soil Temperature (0 to 6 cm),Average Sunshine Duration(s),Humidity(%),Rainfall Alert Maximum Rain (mm),Average Soil Moisture (0-3 cm)
Grain,Majs,10.0,25.0,20.0,3600.0,70.0,50.0,0.3
Tree,Makedonisk Tall,5.0,15.0,12.0,18000.0,60.0,50.0,0.2
Leafy vegetable,Malabarspenat,5.0,25.0,20.0,6000.0,70.0,50.0,0.4
Perennial,Mandarinlilja,5.0,20.0,18.0,36000.0,50.0,20.0,0.3
Leafy Vegetable,Mangold,5.0,24.0,20.0,36000.0,65.0,15.0,0.3
Flower,Mannablod,10.0,20.0,18.0,3600.0,60.0,20.0,0.3
Vegetable,Maralrot,5.0,18.0,15.0,18000.0,60.0,20.0,0.3
Flower,Mariaklocka,10.0,20.0,15.0,3600.0,70.0,20.0,0.3
Flowering Plant,Mattram,5.0,25.0,20.0,6000.0,70.0,20.0,0.3
Fruit,Melongurka,5.0,25.0,20.0,6000.0,60.0,50.0,0.3
Flowering Plant,Midsommarros,5.0,20.0,18.0,18000.0,60.0,30.0,0.3
Leafy vegetable,Mizunakål,5.0,15.0,12.0,3600.0,70.0,10.0,0.4
Root Vegetable,Morot,5.0,15.0,10.0,24000.0,60.0,20.0,0.3
Flowering Plant,Myskmalva,5.0,25.0,20.0,18000.0,60.0,20.0,0.3
Vegetable,myskpumpa 28,5.0,20.0,18.0,3600.0,60.0,20.0,0.3
Perennial,Månviol,3.5,15.0,11.5,20000.0,50.0,10.0,0.30000000000000004
Flower,"Märgärt 29, 30",5.0,20.0,18.0,3000.0,60.0,10.0,0.3
Flowering Plant,Narcisstobak,5.0,22.0,18.0,30000.0,60.0,20.0,0.4
Flowering plant,Nattljus,5.0,20.0,18.0,6000.0,60.0,10.0,0.3
Flower,Nejlika ’Ellen’,5.0,15.0,12.0,3600.0,60.0,20.0,0.3
Flowering plant,Nejlikrot,5.0,18.0,15.0,6000.0,60.0,20.0,0.4
Perennial,Nordisk Stormhatt,5.0,10.0,15.0,18000.0,60.0,30.0,0.3
Leafy vegetable,Nyzeeländsk spenat,5.0,15.0,10.0,5000.0,60.0,20.0,0.3
Perennial flower,Nässelklocka,5.0,15.0,18.0,6000.0,60.0,20.0,0.4
Herb,Nässelsnärja,5.0,20.0,18.0,18000.0,60.0,15.0,0.3
Indoor Plant,Näva,2.0,20.0,22.0,36000.0,60.0,10.0,0.4
Flowering Plant,Opievallmo,5.0,20.0,18.0,3000.0,60.0,20.0,0.3
Perennial,Orangegul Daglilja,5.0,18.0,15.0,6000.0,60.0,20.0,0.3
Flowering Plant,Ormlök,10.0,25.0,20.0,6000.0,60.0,20.0,0.3
Leafy Vegetable,Palmkål,5.0,18.0,14.0,3600.0,70.0,30.0,0.3
Root vegetable,Palsternacka,2.0,12.5,10.0,20000.0,55.0,10.0,0.30000000000000004
Flowering plant,Paradislilja,5.0,20.0,18.0,28800.0,60.0,50.0,0.3
Flower,Parksmörblomma,5.0,15.0,10.0,300.0,60.0,20.0,0.3
Flowering Plant,Pastellakleja,5.0,25.0,20.0,6000.0,60.0,20.0,0.4
Herb,Pepparmynta,5.0,18.0,20.0,3000.0,60.0,30.0,0.4
Perennial Herb,Pimpinella major,5.0,20.0,18.0,6000.0,70.0,20.0,0.3
Herb,Pimpinellifoliaros,5.0,25.0,20.0,7200.0,60.0,20.0,0.3
Flowering Plant,Pingstiris,5.0,25.0,20.0,6000.0,60.0,20.0,0.3
Flowering Plant,Pion 18,5.0,20.0,18.0,36000.0,60.0,50.0,0.4
Flowering Plant,Pionvallmo,5.0,20.0,18.0,36000.0,50.0,30.0,0.3
Vegetable,Piplök,5.0,20.0,18.0,3600.0,70.0,10.0,0.4
Flowering Plant,Plocksallat,5.0,22.0,20.0,36000.0,60.0,10.0,0.4
Shrub,Plymspirea,10.0,20.0,18.0,3600.0,60.0,50.0,0.3
Perennial,Porslinsveronika,5.0,20.0,15.0,6000.0,60.0,20.0,0.3
Vegetable,Portlak,5.0,20.0,18.0,3000.0,60.0,10.0,0.4
Perennial,Praktbetonika,5.0,25.0,20.0,3000.0,60.0,20.0,0.3
Flower,Praktnejlika,5.0,22.0,18.0,6000.0,60.0,50.0,0.3
Ornamental grass,Prydnadsgräs,5.0,20.0,15.0,6000.0,50.0,20.0,0.3
Flower,Prästkrage,5.0,18.0,15.0,5000.0,65.0,20.0,0.35
Vegetable,Purjolök,4.0,15.0,12.5,25200.0,60.0,20.0,0.35
Flowering Plant,Purpurklätt,5.0,25.0,20.0,6000.0,80.0,20.0,0.3
Vegetable,Rhubarb,5.0,15.0,10.0,24000.0,60.0,20.0,0.3
Flowering Perennial,Rabattiris,5.0,20.0,18.0,3600.0,70.0,20.0,0.3
Herb,Ramslök,5.0,12.0,10.0,3600.0,60.0,20.0,0.2
Leafy Vegetable,Rankspenat,5.0,20.0,18.0,20000.0,60.0,20.0,0.4
Herb,Renfana,5.0,20.0,18.0,6000.0,60.0,20.0,0.3
Perennial Flower,Riddarsporre,5.0,18.0,15.0,12000.0,60.0,20.0,0.3
Annual,Ringblomma,5.0,20.0,15.0,7200.0,60.0,20.0,0.3
Flowering Plant,Rosenkrage,5.0,20.0,15.0,6000.0,60.0,10.0,0.25
Flowering Plant,Rosenmalva,5.0,18.0,20.0,18000.0,60.0,20.0,0.4
Perennial Flower,Rosenpion,5.0,20.0,15.0,3600.0,70.0,30.0,0.3
Annual,Rosenskära,2.0,20.0,15.0,3000.0,60.0,10.0,0.4
Perennial,Rotkardborre,10.0,15.0,18.0,6000.0,50.0,30.0,0.3
Herb,Rotkörvel,5.0,15.0,20.0,6000.0,60.0,10.0,0.3
Herb,Rotpersilja,3.0,15.0,12.0,18000.0,70.0,10.0,0.4
Flowering Plant,Rova,5.0,22.0,18.0,3600.0,70.0,20.0,0.6
Flowering Plant,Rugosaros,5.0,20.0,18.0,28800.0,70.0,20.0,0.3
Flowering Plant,Roses,7.5,22.5,17.5,3250.0,50.0,20.0,0.25
Ornamental Plant,Rysk Dragon,5.0,25.0,20.0,120.0,60.0,50.0,0.3
Perennial,Rysk Martorn,7.5,17.5,15.0,2600.0,50.0,20.0,0.25
Cereal,Råg 30,5.0,15.0,10.0,3000.0,70.0,20.0,0.35
Vegetable,Rädisa,5.0,18.0,15.0,3600.0,70.0,20.0,0.3
Vegetable,Rättika,2.0,15.0,12.0,3600.0,70.0,10.0,0.4
Perennial,Rävsvans,5.0,20.0,15.0,18000.0,60.0,20.0,0.3
Vegetable,Rödbeta 26,5.0,20.0,15.0,3600.0,60.0,50.0,0.25
Flowering plant,Rödfibbla,5.0,20.0,18.0,60000.0,70.0,50.0,0.3
Flowering plant,Rödklint,5.0,15.0,12.0,3600.0,60.0,20.0,0.2
Perennial,Rödklöver,3.0,15.0,12.0,3600.0,70.0,20.0,0.25
Shrub,Rödkvanne,5.0,18.0,15.0,24000.0,60.0,20.0,0.35
Flowering Plant,Rödmalva,5.0,20.0,18.0,3600.0,60.0,20.0,0.4
Flowering perennial,Röd nejlikrot,5.0,20.0,18.0,18000.0,70.0,20.0,0.4
Perennial vine,Röd Trolldruva,5.0,25.0,20.0,6000.0,70.0,20.0,0.3
Herbaceous perennial,Achillea millefolium,5.0,20.0,15.0,18000.0,60.0,20.0,0.3
Flower,Safflower,2.0,18.0,20.0,24000.0,60.0,20.0,0.25
Vegetable,Salladsgurka,5.0,20.0,15.0,3600.0,70.0,10.0,0.4
Leafy vegetable,Salladskål,5.0,15.0,10.0,18000.0,70.0,20.0,0.3
Leafy vegetable,Sallat,2.5,20.0,15.0,7000.0,60.0,50.0,0.4
Herbaceous perennial,Taraxacum officinale,3.5,17.5,15.0,20000.0,55.0,10.0,0.25
Annual Flower,Sammetstagetes,5.0,25.0,20.0,36000.0,60.0,10.0,0.3
Perennial,Sandlök,5.0,20.0,18.0,6000.0,60.0,10.0,0.2
Annual,Sandsenap,5.0,20.0,18.0,28800.0,60.0,10.0,0.3
Vegetable,Sarepta Mustard,5.0,20.0,18.0,36000.0,60.0,20.0,0.3
Leafy Vegetable,Senapskål,5.0,15.0,10.0,32000.0,60.0,20.0,0.4
Perennial Flower,Sibirisk Nunneört,3.0,10.0,12.0,24000.0,70.0,20.0,0.4
Perennial,Sibirisk pion,5.0,15.0,10.0,6000.0,50.0,20.0,0.4
Shrub,Sibirisk ärtbuske,5.0,15.0,18.0,18000.0,60.0,20.0,0.3
Ornamental Plant,Silverbuske,5.0,23.0,18.0,24000.0,60.0,20.0,0.3
Perennial Flower,Silvrig Höstanemon,5.0,15.0,12.0,3600.0,60.0,20.0,0.3
Perennial,Skelört,2.5,15.6,18.2,24000.0,65.0,20.0,0.25
Flowering Plant,Skogsförgätmigej,5.0,15.0,12.0,18000.0,60.0,10.0,0.5
Flowering plant,Skogsklocka,5.0,20.0,15.0,3600.0,70.0,10.0,0.4
Flowering Plant,Skogslyst,5.0,20.0,18.0,6000.0,70.0,30.0,0.3
Perennial,Skogslök,4.0,12.0,10.0,3600.0,70.0,20.0,0.2
Perennial Herb,Skogsnäva,4.5,17.5,15.8,43200.0,65.0,50.0,0.25
Perennial,Skogspipa,5.0,15.0,12.0,24000.0,70.0,20.0,0.3
Flowering Plant,Skogsvial,5.0,20.0,18.0,3600.0,60.0,20.0,0.3
Flowering Plant,Skogsvicker,5.0,15.0,18.0,3600.0,60.0,20.0,0.3
Flowering plant,Skomakariris,5.0,20.0,18.0,3600.0,60.0,30.0,0.3
Perennial,Skuggviolruta,5.0,18.0,15.0,24000.0,60.0,20.0,0.4
Herb,Slätpersilja,2.0,15.0,12.0,18000.0,70.0,10.0,0.3
Perennial,Smultron,3.0,18.0,15.0,3600.0,60.0,20.0,0.3
Herbaceous perennial,Småborre,5.0,25.0,18.0,6000.0,70.0,20.0,0.3
Perennial,Smällspirea,5.0,18.0,15.0,3600.0,60.0,20.0,0.3
Flower,Smörblomma,5.0,20.0,18.0,6000.0,60.0,20.0,0.4
Flower,Smörbollar,5.0,20.0,18.0,36000.0,60.0,20.0,0.3
Vegetable,Smörgåskrasse,5.0,18.0,15.0,3600.0,70.0,20.0,0.3
Vegetable,Sockerrot,5.0,20.0,15.0,3600.0,60.0,20.0,0.3
Leafy vegetable,Sockertopskål,2.0,18.0,15.0,36000.0,70.0,10.0,0.25
Legume,"Sockerärt 30, 38",3.2,18.5,15.2,3600.0,65.0,15.0,0.25
Legume,Sojaböna,4.0,20.0,18.0,24000.0,60.0,30.0,0.3
Vegetable,Sommarpumpa,5.0,20.0,18.0,6000.0,60.0,20.0,0.3
Flowering Plant,Sommarrudbeckia,5.0,25.0,20.0,10.0,50.0,50.0,0.3
Herb,Spansk Körvel,5.0,18.0,15.0,3600.0,70.0,20.0,0.3
Vegetable,Sparris,2.0,18.0,15.0,3600.0,60.0,10.0,0.4
Leafy vegetable,Sparriskål,5.0,15.0,12.0,36000.0,70.0,15.0,0.3
Cereal Crop,Spelt Wheat,2.5,12.5,10.0,25200.0,55.0,75.0,25.0
Leafy green vegetable,Spenat,5.0,20.0,15.0,30000.0,60.0,20.0,0.3
Leafy vegetable,Spenatskräppa,5.0,15.0,12.0,3600.0,70.0,20.0,0.3
Perennial,Spikklubba,5.0,20.0,18.0,6000.0,70.0,20.0,0.3
Flowering Plant,Spjutkakalia,5.0,25.0,20.0,28800.0,60.0,10.0,0.4
Perennial,Spånandslin,5.0,18.0,15.0,3600.0,60.0,20.0,0.3
Perennial Flower,Stjärnflocka,5.0,18.0,15.0,24000.0,60.0,15.0,0.3
Bulbous perennial,Stjärnlök,3.0,15.0,12.0,6000.0,50.0,10.0,0.25
Flowering Plant,Stjärnvinda,5.0,20.0,18.0,36000.0,70.0,20.0,0.3
Perennial Flowering Plant,Stockros,5.0,15.0,18.0,6000.0,70.0,20.0,0.3
Perennial,Storblommig fingerört,5.0,15.0,10.0,12000.0,70.0,20.0,0.3
Perennial,Campanula persicifolia,5.0,20.0,15.0,6000.0,60.0,20.0,0.3
Perennial,Stor Gullstav,5.0,25.0,18.0,36000.0,70.0,20.0,0.3
Perennial,Stor Hässleklocka,4.0,12.0,10.0,18000.0,60.0,20.0,0.25
Perennial herb,Stor kardborre,3.5,17.5,15.0,2250.0,50.0,15.0,0.4
Herb,Stor Kustruta,5.0,18.0,15.0,24000.0,60.0,20.0,0.3
Perennial,Stormhatt,5.0,15.0,12.0,3600.0,60.0,20.0,0.4
Perennial,Stor Nunneört,3.0,15.0,11.5,18000.0,70.0,50.0,0.30000000000000004
Flowering Plant,Storrams,5.0,25.0,20.0,6000.0,70.0,15.0,0.3
Flowering plant,Stor rödmalva,5.0,20.0,15.0,3000.0,70.0,20.0,0.3
Perennial,Lilium martagon,5.0,18.0,15.0,3600.0,60.0,20.0,0.25
Climbing Vine,Stor Styvklematis,5.0,20.0,18.0,3600.0,70.0,30.0,0.3
Flower,Stor Tagetes,5.0,20.0,18.0,3000.0,60.0,20.0,0.4
Flowering Plant,Stor Vaxblomma,6.7,18.5,20.2,24000.0,65.0,20.0,0.35
Flowering Plant,Strandiris,10.0,25.0,20.0,30000.0,60.0,50.0,0.3
Leafy vegetable,Strandkål,5.0,12.0,10.0,20000.0,70.0,15.0,0.4
Perennial Herb,Strandloka,7.5,20.0,17.5,25200.0,60.0,20.0,0.30000000000000004
Flowering plant,Strandlysing,5.0,25.0,20.0,3600.0,70.0,20.0,0.3
Flowering Perennial,Strandveronika,5.0,22.0,18.0,10.0,70.0,20.0,0.3
Flowering plant,Strålöga,7.5,21.5,17.5,2600.0,60.0,20.0,0.30000000000000004
Perennial,Styvklematis,5.0,15.0,18.0,30000.0,60.0,20.0,0.25
Flower,Styvmorsviol,5.0,18.0,15.0,6000.0,60.0,20.0,0.4
Perennial,Stäppsalvia,5.0,20.0,18.0,36000.0,50.0,20.0,0.3
Flowering plant,Svartsenap,5.0,20.0,18.0,6000.0,70.0,15.0,0.4
Flowering Plant,Svavelpion,7.5,22.5,17.5,32400.0,50.0,20.0,0.4
Vegetable,Stångböna,5.0,20.0,18.0,18000.0,60.0,20.0,0.3
Flowering plant,Svartnysört,5.0,20.0,15.0,5000.0,60.0,20.0,0.3
Flowering Plant,Svartöga,5.0,20.0,18.0,600.0,60.0,20.0,0.3
Perennial,Svärdslilja,5.0,20.0,18.0,12000.0,60.0,20.0,0.3
Perennial Climber,Sydgullregn,5.0,15.0,18.0,6000.0,70.0,10.0,0.3
Perennial Flower,Såpnejlika,2.0,18.0,15.0,2400.0,60.0,10.0,0.35
Vegetable,Sötpaprika,5.0,25.0,20.0,3000.0,60.0,30.0,0.3
Perennial Flower,Tjärblomster,5.0,20.0,18.0,3600.0,60.0,20.0,0.4
Vegetable,Tomat 31,5.0,25.0,18.0,3000.0,60.0,20.0,0.3
Flower,Tovsippa,7.5,20.0,17.5,19000.0,50.0,20.0,0.4
Flowering plant,Trollduva,5.0,20.0,18.0,3600.0,60.0,20.0,0.4
Perennial Flower,Trädsgårdsiris,10.0,18.0,15.0,6000.0,60.0,20.0,0.3
Perennial,Trädgårdsjättevallmo,5.0,18.0,15.0,5000.0,60.0,20.0,0.4
Annual Flower,Trädgårdsmålla,5.0,20.0,15.0,9000.0,60.0,20.0,0.3
Perennial,Trädgårdsnattviol,5.0,18.0,15.0,18000.0,60.0,20.0,0.3
Perennial,Trädgårdssporre,5.0,15.0,10.0,18000.0,60.0,20.0,0.4
Flowering Perennial,Trädgårdsstormhatt,5.0,20.0,15.0,6000.0,60.0,15.0,0.4
Fruit plant,Trädgårdsäppel,5.0,15.0,12.0,3600.0,60.0,20.0,0.3
Flowering Plant,Tuviris,5.0,25.0,20.0,3000.0,60.0,20.0,0.3
Flowering Plant,Törnrosas Kjörtel,5.0,25.0,18.0,3000.0,60.0,20.0,0.4
Perennial,Ullig Kardborre,5.0,15.0,12.0,18000.0,60.0,20.0,0.4
Flowering plant,Underblomma,5.0,24.0,20.0,6000.0,70.0,20.0,0.4
Herb,Vallört,2.0,18.0,15.0,18000.0,60.0,20.0,0.3
Flowering Plant,Vanlig Vitsenap,5.0,18.0,15.0,28800.0,60.0,20.0,0.2
Fruit,Vattenmelon,5.0,25.0,20.0,6000.0,60.0,20.0,0.4
Legume,Vaxböna,5.0,20.0,18.0,36000.0,60.0,20.0,0.3
Flowering Plant,Vejde,5.0,25.0,20.0,6000.0,50.0,20.0,0.3
Grain,Vete,5.0,20.0,15.0,36000.0,60.0,50.0,0.3
Biennial,Vildmorot,5.0,15.0,10.0,6000.0,60.0,15.0,0.3
Perennial Flower,Vildmånviol,7.5,17.5,13.5,19000.0,50.0,20.0,0.3
Perennial Flower,Vinterkäck,5.0,-5.0,3.0,18000.0,70.0,30.0,0.4
Vegetable,Vinterpumpa 28,5.0,15.0,12.0,2400.0,60.0,20.0,0.3
Leafy vegetable,Vintersallat,2.0,15.0,10.0,18000.0,60.0,20.0,0.2
Flowering plant,Violkungsljus,5.0,23.0,18.0,6000.0,50.0,20.0,0.35
Flowering Plant,Vipprams,5.0,25.0,20.0,6000.0,60.0,30.0,0.4
Flowering plant,Virginia Tobacco,5.0,25.0,20.0,3600.0,60.0,10.0,0.3
Legume,Vitklöver,5.0,20.0,15.0,6000.0,60.0,20.0,0.3
Herb,Vitlök,5.0,15.0,12.0,6000.0,70.0,20.0,0.3
Perennial,Vitsippa,5.0,15.0,10.0,6000.0,70.0,20.0,0.2
Perennial flower,Vit Skugglilja,4.0,15.0,12.5,18000.0,70.0,20.0,0.4
Flowering Plant,Vit Sötväppling 18,5.0,20.0,15.0,36000.0,70.0,10.0,0.3
Flowering Plant,Viva,10.0,25.0,20.0,3600.0,70.0,50.0,0.5
Flowering plant,Vårvial,5.0,20.0,15.0,6000.0,60.0,20.0,0.5
Perennial,Väddklint,5.0,20.0,15.0,6000.0,60.0,20.0,0.3
Perennial plant,Vägtistel,2.5,15.3,14.8,28000.0,60.0,20.0,0.25
Perennial,Vänderot,5.0,20.0,18.0,6000.0,60.0,20.0,0.3
Grass,Westerwoldiskt Rajgräs,5.0,15.0,12.0,12000.0,70.0,20.0,0.3
Flowering plant,Zuluaster,10.0,25.0,20.0,6000.0,60.0,50.0,0.3
Annual Flowering Plant,Åkerbinda,5.0,20.0,15.0,60000.0,60.0,10.0,0.3
Legume,Åkerböna,5.0,15.0,12.0,3600.0,50.0,10.0,0.3
Perennial,Åkerklätt,5.0,18.0,15.0,3000.0,60.0,20.0,0.3
Flower,Åkerringblomma,5.0,20.0,18.0,36000.0,60.0,20.0,0.3
Perennial Herb,Ålandsrot,5.0,15.0,12.0,6000.0,70.0,20.0,0.3
Flowering Plant,Angsglim,10.0,25.0,20.0,3000.0,60.0,50.0,0.4
Flowering Plant,Aggört,10.0,25.0,20.0,3000.0,60.0,50.0,0.3
Grass,Ängshavrerot,5.0,15.0,12.0,18000.0,70.0,20.0,0.4
Perennial Flower,Ängsnejlika,3.0,20.0,18.0,30000.0,60.0,20.0,0.4
Perennial Flower,Ängsnäva,3.2,14.5,12.8,18000.0,75.0,10.0,0.25
Perennial,Ängsruta,5.0,20.0,15.0,6000.0,60.0,50.0,0.3
Perennial Flower,Ängstoppklocka,5.0,15.0,20.0,18000.0,70.0,20.0,0.3
Perennial,Septentrionale,5.0,22.0,18.0,3600.0,45.0,20.0,0.25
Perennial,Aconitum x stoerkianum,5.0,16.0,14.0,18000.0,60.0,20.0,0.3
Perennial,Actaea erythocarpa,5.0,20.0,15.0,36000.0,70.0,20.0,0.4
Perennial,Actaea rubra,5.0,12.0,10.0,3600.0,70.0,50.0,0.4
Herbaceous plant,Aethusa cynapium,2.3,15.5,18.2,25000.0,60.0,30.0,0.25
Perennial,Agrimonia eupatoria,5.0,20.0,15.0,6000.0,70.0,30.0,0.3
Perennial,Alcea ficifolia,5.0,18.0,15.0,36000.0,70.0,30.0,0.3
Perennial herb,Allium caeruleum,5.0,20.0,15.0,6000.0,60.0,20.0,0.4
Herbaceous perennial,Allium fistulosum,5.0,18.0,15.0,3600.0,60.0,30.0,0.2
Perennial,Allium hollandicum,5.0,16.0,18.0,6000.0,60.0,20.0,0.35
Perennial bulb,Allium karataviense,5.0,15.0,18.0,6000.0,50.0,20.0,0.3
Perennial vegetable,Allium x proliferum,5.0,20.0,18.0,18000.0,60.0,50.0,0.25
Perennial herb,Allium scorodoprasum,3.0,18.0,15.0,6000.0,60.0,20.0,0.25
Shrub,Amelanchier alnifolia,5.0,15.0,20.0,18000.0,50.0,50.0,0.3
Perennial,Anemone nemorosa,2.0,12.0,10.0,18000.0,70.0,10.0,0.3
Perennial Flower,Anemone sylvestris,3.5,17.5,15.0,3250.0,50.0,10.0,0.30000000000000004
Perennial,Anemone tomentosa,4.5,15.6,12.3,6300.0,65.0,50.0,0.18
Perennial herb,Angelica sylvestris,5.0,20.0,15.0,12000.0,65.0,30.0,0.4
Perennial,Anthyllis Vulneraria,5.0,20.0,15.0,6000.0,60.0,20.0,0.3
Perennial,Aralia Continentalis,5.0,18.0,20.0,36000.0,70.0,30.0,0.5
Perennial,Arctium Tomentosum,5.0,20.0,15.0,3600.0,60.0,20.0,0.3
Perennial,Arisaema amurense,7.5,20.0,17.5,25200.0,70.0,20.0,0.44999999999999996
Herb,Artemisia dracunculus,5.0,20.0,18.0,30000.0,60.0,20.0,0.3
Perennial,Aruncus Dioicus,2.5,15.0,12.5,25200.0,50.0,25.0,0.4
Perennial,Asparagus officinalis,5.0,20.0,15.0,3600.0,60.0,10.0,0.4
Perennial flowering plant,Astrantia major,5.0,15.0,18.0,6000.0,70.0,20.0,0.3
Grass,Avena nuda,5.0,20.0,15.0,3600.0,60.0,20.0,0.3
Vegetable,Basella Alba,5.0,25.0,22.0,9000.0,70.0,50.0,0.35
Vegetable,Beta vulgaris 26,5.0,20.0,15.0,3600.0,60.0,20.0,0.3
Herbaceous perennial,Bidens tripartita,7.5,20.0,15.0,2600.0,50.0,25.0,0.30000000000000004
Crop,Brassica napus 26,5.0,18.0,15.0,30000.0,70.0,50.0,0.2
Vegetable,brassica rapa 26,5.0,20.0,18.0,18000.0,60.0,20.0,0.2
Perennial,Bupleurum sp.,10.0,20.0,25.0,6000.0,60.0,50.0,0.3
Flower,Calendula arvensis,3.0,22.0,18.0,24000.0,60.0,25.0,0.3
Perennial,Campanula alliariifolia,5.0,20.0,15.0,6000.0,60.0,20.0,0.3
Perennial,Campanula cervicaria,5.0,18.0,15.0,24000.0,60.0,20.0,0.4
Perennial,Campanula latifolia,5.0,18.0,15.0,6000.0,60.0,20.0,0.3
Flowering plant,Macrantha,5.0,25.0,20.0,3000.0,70.0,20.0,0.4
Perennial Flower,Campanula persicifolia,2.5,19.7,16.5,25000.0,60.0,20.0,0.25
Perennial,Campanula rapunculoides,3.5,20.0,15.0,84000.0,50.0,10.0,0.30000000000000004
Perennial,Campanula rotundifolia,5.0,15.0,10.0,24000.0,60.0,30.0,0.3
Perennial,Campanula trachelium,5.0,20.0,15.0,12000.0,60.0,20.0,0.3
Cannabis Sativa,Cannabis Sativa 25,5.8,22.5,20.3,21600.0,60.0,20.0,0.25
Vegetable,Capsicum annuum 26,5.0,22.0,18.0,6000.0,60.0,50.0,0.25
Vegetable,Capsicum Frutescens,5.0,25.0,20.0,6000.0,60.0,20.0,0.25
Shrub,Caragana arborescens,5.0,15.0,18.0,6000.0,60.0,20.0,0.3
Perennial,Cardiocrinum Cordatum,5.0,15.0,12.0,60000.0,60.0,20.0,0.4
Flowering plant,Carthamus sp.,5.0,25.0,20.0,6000.0,60.0,20.0,0.3
Herb,Caraway,2.0,10.0,8.0,3000.0,60.0,10.0,0.3
Perennial,Centaurea montana,5.0,20.0,18.0,36000.0,60.0,10.0,0.4
Perennial,Cephalaria Gigantea,5.0,20.0,15.0,36000.0,60.0,20.0,0.5
Perennial,Chaerophyllum hirsutum,5.0,18.0,15.0,6000.0,60.0,20.0,0.4
Shrub,Chaenomeles Japonica,5.0,15.0,12.0,18000.0,60.0,20.0,0.3
Perennial,Chenopodium bonus-henricus,5.0,18.0,15.0,3600.0,60.0,20.0,0.4
Perennial,Cichorium intybus 27,5.0,20.0,15.0,6000.0,70.0,20.0,0.3
Perennial,Clematis integrifolia,5.0,20.0,18.0,3000.0,60.0,20.0,0.3
Perennial,Clematis Mandshurica,5.0,18.0,15.0,30000.0,60.0,20.0,0.2
Perennial,Clematis recta,5.0,18.0,15.0,3600.0,60.0,20.0,0.3
Perennial,Commelina tuberosa,5.0,25.0,20.0,3600.0,70.0,50.0,0.4
Perennial,Convallaria majalis,5.0,15.0,18.0,6000.0,70.0,20.0,0.4
Shrub,Cornus alba subsp. alba,5.0,15.0,10.0,3600.0,60.0,20.0,0.3
Perennial,Corydalis solida,3.5,15.0,12.5,4500.0,50.0,20.0,0.325
Shrub,Crataegus grayana,3.0,18.0,15.0,24000.0,60.0,20.0,0.3
Fruit,Cucumis melo flexuosus,5.0,25.0,20.0,3000.0,70.0,50.0,0.3
Vegetable,cucurbita maxima 28,5.0,25.0,20.0,3600.0,60.0,50.0,0.3
Vegetable,Cucurbita moschata 28,5.0,25.0,20.0,600.0,70.0,50.0,0.3
Parasitic plant,Cuscuta europea,5.0,20.0,18.0,6000.0,60.0,20.0,0.2
Grass,Dactylis clomerata,5.0,18.0,15.0,6000.0,70.0,15.0,0.4
Vegetable,Daucus carota 14,5.0,18.0,15.0,500.0,60.0,20.0,0.2
Shrub,Daphne Mezereum,5.0,18.0,15.0,18000.0,60.0,50.0,0.3
Perennial,Datura sp.,5.0,25.0,20.0,3600.0,60.0,20.0,0.4
Perennial Flower,Delphinium,5.0,20.0,15.0,6000.0,50.0,30.0,0.3
Perennial Flower,Delphinium x cultorum,5.0,20.0,18.0,6000.0,60.0,50.0,0.3
Perennial Flower,Dianthus Carthusianorum,5.0,20.0,15.0,6000.0,60.0,20.0,0.3
Herb,Dictamus Albus,10.0,20.0,18.0,6000.0,60.0,30.0,0.3
Perennial,Digitalis grandiflora,5.0,15.0,12.0,6000.0,60.0,20.0,0.3
Biennial,Digitalis Purpurea,5.0,15.0,10.0,18000.0,70.0,20.0,0.3
Perennial,Dipsacus sp.,5.0,18.0,15.0,24000.0,70.0,50.0,0.25
Perennial,Echinops bannaticus,5.0,22.0,18.0,6000.0,60.0,20.0,0.25
Perennial,Eryngium Planum,5.0,18.0,15.0,3000.0,50.0,20.0,0.3
Annual,Fallopia convolvulus,5.0,20.0,18.0,3000.0,60.0,20.0,0.4
Flowering Plant,Felicia heterophylla,5.0,25.0,20.0,18000.0,60.0,20.0,0.4
Perennial,Filipendula vulgaris,5.0,20.0,15.0,6000.0,60.0,20.0,0.3
Perennial,Fragaria vesca,2.3,16.5,14.2,25000.0,70.0,20.0,0.35
Perennial,Fritillaria imperialis,5.0,18.0,15.0,30000.0,60.0,20.0,0.3
Annual Herb,Galinsoga parviflora,5.0,20.0,18.0,3600.0,60.0,50.0,0.3
Perennial,Gentiana Asclepiadea,5.0,15.0,18.0,30000.0,70.0,50.0,0.4
Perennial,Geranium Pratense,5.0,18.0,15.0,6000.0,60.0,20.0,0.3
Perennial Flower,Geranium sylvaticum,5.0,20.0,15.0,6000.0,60.0,20.0,0.4
Perennial plant,Glaucidium palmatum,5.0,15.0,10.0,24000.0,60.0,20.0,0.3
Perennial,Heliopsis helianthoides,5.0,20.0,18.0,36000.0,60.0,20.0,0.3
Perennial,Hemerocallis middendorfii,10.0,10.0,12.0,18000.0,60.0,50.0,0.3
Perennial Flower,Hesperis Matronalis,3.5,17.5,15.0,18000.0,50.0,75.0,0.2
Perennial,Heuchera cylindrica,5.0,15.0,18.0,3600.0,60.0,50.0,0.3
Perennial,Hypericum maculatum,5.0,20.0,18.0,24000.0,65.0,20.0,0.4
Annual,Impatiens Balsamina,5.0,25.0,22.0,6000.0,70.0,20.0,0.5
