Plant Category,Seed Name,Watering (hours interval),List of Fertilization,Time Period for Fertilization (weeks interval),Soil depth for sowing (inches),Plant name,water unit
Perennial bulb,Allium karataviense,48.0,"[""Compost"",""Organic fertilizer""]",6.0,2.0,allium karataviense,
Perennial vegetable,Allium x proliferum,48.0,"[""Organic compost"",""Nitrogen-based fertilizer""]",4.0,1.0,allium x proliferum,
Perennial herb,Allium scorodoprasum,48.0,"[""NPK"",""Compost""]",4.0,1.0,allium scorodoprasum,
Shrub,Amelanchier alnifolia,24.0,"[""NPK"",""Compost""]",4.0,1.0,amelanchier alnifolia,
Perennial,Anemone nemorosa,24.0,"[""Organic compost"",""Slow-release granular fertilizer""]",8.0,0.5,anemone nemorosa,
Perennial Flower,Anemone sylvestris,60.0,"[""Organic compost"",""Slow-release granular fertilizer""]",5.0,0.375,anemone sylvestris,
Perennial,Anemone tomentosa,48.0,"[""Slow-release fertilizer"",""Organic compost""]",4.0,0.5,anemone tomentosa,
Perennial herb,Angelica sylvestris,48.0,"[""Compost"",""Organic liquid fertilizer""]",4.0,0.2,angeliga sylvestris,
Perennial,Anthyllis Vulneraria,48.0,"[""Organic compost"",""Slow-release fertilizer""]",8.0,0.25,anthyllis vulneraria,
Perennial,Aralia Continentalis,48.0,"[""NPK 10-10-10"",""Compost""]",4.0,1.0,aralia continentalis,
Perennial,Arctium Tomentosum,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,0.5,arctium tomentosum,
Perennial,Arisaema amurense,48.0,"[""Organic compost"",""Slow-release granular fertilizer""]",7.0,1.5,arisaema amurense,
Herb,Artemisia dracunculus,48.0,"[""Nitrogen-rich fertilizer"",""Potassium-rich fertilizer""]",4.0,0.2,artemisia dracunculus,
Perennial,Aruncus Dioicus,60.0,"[""Organic compost"",""Slow-release granular fertilizer""]",5.0,0.75,aruncus dioicus,
Perennial,Asparagus officinalis,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,2.0,asparagus officinalis,
Perennial flowering plant,Astrantia major,48.0,"[""Organic compost"",""Slow-release fertilizer""]",6.0,0.2,astrantia major,
Grass,Avena nuda,48.0,"[""NPK fertilizer"",""Organic compost""]",4.0,2.0,avena nuda,
Vegetable,Basella Alba,48.0,"[""Organic compost"",""NPK fertilizers""]",4.0,1.0,basella alba,
Vegetable,Beta vulgaris 26,48.0,"[""NPK"",""Compost"",""Manure""]",2.0,1.0,"beta vulgaris 26,",
Herbaceous perennial,Bidens tripartita,60.0,"[""NPK 10-10-10"",""Organic compost""]",5.0,0.375,bidens tripartita,
Crop,Brassica napus 26,48.0,"[""nitrogen"",""phosphorus"",""potassium""]",4.0,2.0,"brassica napus 26,",
Vegetable,brassica rapa 26,24.0,"[""nitrogen"",""phosphorus"",""potassium""]",2.0,0.5,"brassica rapa 26,",
Perennial,Bupleurum sp.,48.0,"[""NPK 10-10-10"",""Compost"",""Fish emulsion""]",4.0,0.5,bupleurum sp.,
Flower,Calendula arvensis,48.0,"[""Organic compost"",""Liquid seaweed fertilizer""]",2.0,0.5,calendula arvensis,
Perennial,Campanula alliariifolia,48.0,"[""NPK"",""Compost""]",4.0,0.5,campanula alliariifolia,
Perennial,Campanula cervicaria,48.0,"[""NPK"",""Organic compost""]",6.0,0.5,campanula cervicaria,
Perennial,Campanula latifolia,48.0,"[""NPK fertilizer"",""Compost""]",4.0,0.2,campanula latifolia,
Flowering plant,Macrantha,48.0,"[""NPK"",""Compost""]",4.0,0.5,macrantha,
Perennial Flower,Campanula persicifolia,48.0,"[""Organic compost"",""Slow-release granular fertilizer""]",6.0,0.25,campanula persicifolia,
Perennial,Campanula rapunculoides,48.0,"[""Organic compost"",""Slow-release granular fertilizer""]",5.0,0.375,campanula rapunculoides,
Perennial,Campanula rotundifolia,48.0,"[""NPK 10-10-10"",""Compost""]",4.0,0.2,campanula rotundifolia,
Perennial,Campanula trachelium,48.0,"[""Organic compost"",""Balanced NPK fertilizer""]",4.0,0.5,campanula trachelium,
Cannabis Sativa,Cannabis Sativa 25,48.0,"[""NPK 10-10-10"",""Compost Tea""]",4.0,0.5,"cannabis sativa 25,",
Vegetable,Capsicum annuum 26,48.0,"[""NPK 20-20-20"",""Organic compost""]",2.0,0.5,"capsicum annuum 26,",
Vegetable,Capsicum Frutescens,48.0,"[""Organic compost"",""NPK fertilizer""]",4.0,0.5,capsicum frutescens,
Shrub,Caragana arborescens,24.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,2.0,caragana arborescens,
Perennial,Cardiocrinum Cordatum,48.0,"[""Organic compost"",""Slow-release granules""]",6.0,2.0,cardiocrinum cordatum,
Flowering plant,Carthamus sp.,48.0,"[""NPK fertilizer"",""compost""]",4.0,0.5,carthamus sp.,
Herb,Caraway,48.0,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer""]",4.0,1.0,carum carvi,
Perennial,Centaurea montana,24.0,"[""NPK fertilizer"",""Compost""]",4.0,0.5,centaurea montana,
Perennial,Cephalaria Gigantea,48.0,"[""Organic compost"",""Slow-release granular fertilizer""]",8.0,0.25,cephalaria gigantea,
Perennial,Chaerophyllum hirsutum,48.0,"[""NPK"",""Compost""]",4.0,0.5,chaerophyllum hirsutum,
Shrub,Chaenomeles Japonica,48.0,"[""NPK 10-10-10"",""Bone Meal""]",4.0,2.0,chaenomeles japonica,
Perennial,Chenopodium bonus-henricus,48.0,"[""Organic compost"",""All-purpose liquid fertilizer""]",4.0,0.5,chenopodium bonus-henricus,
Perennial,Cichorium intybus 27,48.0,"[""Nitrogen-based"",""Phosphorus-based""]",4.0,0.5,"cichorium intybus 27,",
Perennial,Clematis integrifolia,72.0,"[""All-purpose liquid fertilizer"",""Slow-release granular fertilizer""]",4.0,0.25,clematis integrifolia,
Perennial,Clematis Mandshurica,48.0,"[""NPK fertilizers"",""Organic compost""]",4.0,0.5,clematis mandshurica,
Perennial,Clematis recta,48.0,"[""10-10-10"",""5-10-5""]",4.0,1.0,clematis recta,
Perennial,Commelina tuberosa,48.0,"[""Organic compost"",""Slow-release fertilizer""]",4.0,1.0,commelina tuberosa,
Perennial,Convallaria majalis,48.0,"[""Organic compost"",""Slow-release fertilizer""]",4.0,1.0,convallaria majalis,
Shrub,Cornus alba subsp. alba,48.0,"[""Organic compost"",""Slow-release granular fertilizer""]",8.0,2.0,cornus alba subsp. alba,
Perennial,Corydalis solida,36.0,"[""Organic compost"",""All-purpose fertilizer""]",5.0,0.75,corydalis solida,
Shrub,Crataegus grayana,24.0,"[""Organic compost"",""Slow-release granular fertilizer""]",8.0,1.0,crataegus grayana,
Fruit,Cucumis melo flexuosus,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,1.0,cucumis melo flexuosus,
Vegetable,cucurbita maxima 28,48.0,"[""NPK 10-10-10"",""Compost""]",4.0,2.0,"cucurbita maxima 28,",
Vegetable,Cucurbita moschata 28,48.0,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer""]",4.0,2.0,"cucurbita moschata 28,",h
Parasitic plant,Cuscuta europea,48.0,"[""NPK fertilizers"",""Organic compost""]",4.0,2.0,cuscuta europea,
Grass,Dactylis clomerata,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,1.0,dactylis clomerata,
Vegetable,Daucus carota 14,48.0,"[""Nitrogen-based fertilizers"",""Phosphorus-based fertilizers""]",4.0,0.5,"daucus carota 14,",h
Shrub,Daphne Mezereum,48.0,"[""Organic compost"",""Slow-release granular fertilizer""]",8.0,1.0,daphne mezereum,
Perennial,Datura sp.,48.0,"[""NPK fertilizers"",""Organic compost""]",4.0,0.5,datura sp.,
Perennial Flower,Delphinium,24.0,"[""Organic compost"",""Slow-release granular fertilizer""]",4.0,0.5,delphinium sp.,
Perennial Flower,Delphinium x cultorum,48.0,"[""10-10-10"",""20-20-20""]",4.0,0.5,delphinium x cultorum,
Perennial Flower,Dianthus Carthusianorum,24.0,"[""Organic compost"",""Slow-release granular fertilizer""]",4.0,0.2,dianthus carthusianorum,
Herb,Dictamus Albus,48.0,"[""Organic compost"",""Slow-release fertilizer""]",4.0,0.2,dictamus albus,
Perennial,Digitalis grandiflora,24.0,"[""Slow-release granular fertilizer"",""Liquid fertilizer""]",4.0,0.2,digitalis grandiflora,
Biennial,Digitalis Purpurea,48.0,"[""Organic compost"",""Slow-release granular fertilizer""]",4.0,0.2,digitalis purpurea,
Perennial,Dipsacus sp.,48.0,"[""NPK"",""Compost""]",4.0,0.5,dipsacus sp.,
Perennial,Echinops bannaticus,48.0,"[""NPK"",""Compost""]",4.0,0.5,echinops bannaticus,
Perennial,Eryngium Planum,48.0,"[""NPK 10-10-10"",""Organic compost""]",4.0,0.5,eryngium planum,
Annual,Fallopia convolvulus,48.0,"[""NPK fertilizer"",""Compost""]",4.0,2.0,fallopia convolvulus,
Flowering Plant,Felicia heterophylla,48.0,"[""NPK fertilizer"",""Organic compost""]",4.0,0.5,felicia heterophylla,
Perennial,Filipendula vulgaris,48.0,"[""Organic compost"",""Slow-release granular fertilizer""]",8.0,0.25,filipendula vulgaris,
Perennial,Fragaria vesca,48.0,"[""NPK 10-10-10"",""Compost""]",4.0,0.2,fragaria vesca,
Perennial,Fritillaria imperialis,48.0,"[""Organic compost"",""Slow-release granular fertilizer""]",8.0,6.0,fritillaria imperialis,
Annual Herb,Galinsoga parviflora,24.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2.0,0.5,galinsoga parviflora,
Perennial,Gentiana Asclepiadea,48.0,"[""Organic compost"",""Slow-release granular fertilizer""]",4.0,0.5,gentiana asclepiadea,
Perennial,Geranium Pratense,48.0,"[""NPK fertilizer"",""Compost""]",4.0,0.5,geranium pratense,
Perennial Flower,Geranium sylvaticum,48.0,"[""Organic compost"",""Slow-release granular fertilizer""]",6.0,0.25,geranium sylvaticum,
Perennial plant,Glaucidium palmatum,48.0,"[""Organic compost"",""Slow-release granules""]",8.0,0.5,glaucidium palmatum,
Perennial,Heliopsis helianthoides,48.0,"[""10-10-10"",""5-10-5""]",4.0,0.5,heliopsis helianthoides,
Perennial,Hemerocallis middendorfii,48.0,"[""Organic fertilizer"",""Slow-release granular fertilizer""]",4.0,0.5,hemerocallis middendorfii,
Perennial Flower,Hesperis Matronalis,60.0,"[""Organic compost"",""Slow-release granular fertilizer""]",5.0,0.375,hesperis matronalis,
Perennial,Heuchera cylindrica,48.0,"[""Organic compost"",""Balanced slow-release fertilizer""]",8.0,1.0,heuchera cylindrica,
Perennial,Hypericum maculatum,48.0,"[""NPK 10-10-10"",""Compost""]",6.0,0.4,hypericum maculatum,
Annual,Impatiens Balsamina,48.0,"[""NPK fertilizer"",""Organic compost""]",4.0,0.5,impatiens balsamina,
Climbing plant,Ipomoea sp.,24.0,"[""NPK"",""Compost""]",4.0,2.0,ipomoea sp.,
Perennial,Iris germanica-ryhmä,48.0,"[""10-10-10"",""14-14-14"",""20-20-20""]",4.0,2.0,iris germanica-ryhmä,
Flowering Plant,Iris Intermedia-Ryhmä,48.0,"[""Organic Compost"",""Slow-release granular fertilizer""]",6.0,2.0,iris intermedia-ryhmä,
Perennial,Iris pseudacorus,48.0,"[""Slow-release granular fertilizer"",""Organic compost""]",12.0,1.0,iris pseudacorus,
Flowering Plant,Iris setosa,48.0,"[""All-purpose fertilizer"",""Slow-release fertilizer""]",4.0,2.0,iris setosa,d
Perennial Plant,Iris Sibirica,48.0,"[""10-10-10"",""20-20-20""]",4.0,2.0,iris sibirica,
Flowering Plant,Iris Versicolor,48.0,"[""NPK"",""Compost""]",4.0,2.0,iris versicolor,
Perennial,Knautia Macedonica,24.0,"[""Organic compost"",""Slow-release fertilizer""]",4.0,0.1,knautia macedonica,
Shrub,Laburnum alpinum,48.0,"[""Organic compost"",""Slow-release fertilizer""]",12.0,2.0,laburnum alpinum,
Vegetable,Lactuca sativa 28,24.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2.0,0.5,"lactuca sativa 28,",
Perennial plant,Lamprocapnos spectabilis,48.0,"[""Organic compost"",""Slow-release granular fertilizer""]",5.0,0.25,lamprocapnos spectabilis,
Perennial,Lathyrus sylvestris,48.0,"[""Organic compost"",""Slow-release fertilizer""]",8.0,1.0,lathyrus sylvestris,
Perennial,Lathyrus Tuberosus,48.0,"[""NPK"",""Compost""]",4.0,2.0,lathyrus tuberosus,
Perennial,Lavatera thuringiaca,48.0,"[""NPK fertilizers"",""Compost""]",4.0,0.5,lavatera thuringiaca,
Flowering Plant,Leontodon autumnalis,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,2.0,leontodon autumnalis,
Flowering Perennial,Leucanthemum vulgare,48.0,"[""NPK"",""Compost""]",4.0,0.25,leucanthemum vulgare,
Perennial Herb,Levisticum officinale,48.0,"[""Compost"",""Organic fertilizer""]",4.0,0.5,levisticum officinale,
Perennial,Leuzea carthamoides,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",5.0,0.75,leuzea carthamoides,
Perennial,Ligularia Wilsoniana,48.0,"[""Organic compost"",""Slow-release granular fertilizer""]",4.0,0.2,ligularia wilsoniana,
Herbaceous Perennial,Ligusticum Scotium,48.0,"[""All-purpose fertilizer"",""Organic compost""]",4.0,0.5,ligusticum scotium,
Perennial Flower,Lilium bulbiferum,60.0,"[""Organic compost"",""Slow-release granular fertilizer""]",5.0,5.0,lilium bulbiferum,
Perennial,Lilium martagon,48.0,"[""Organic compost"",""Slow-release granular fertilizer""]",4.0,2.0,lilium martagon,
Perennial,Lilium martagon var. cattaniae,48.0,"[""Nitrogen-based"",""Phosphorus-based"",""Potassium-based""]",4.0,6.0,lilium martagon var. cattaniae,
Flowering Plant,Lilium Monadelphum,48.0,"[""Organic compost"",""Slow-release granular fertilizer""]",4.0,2.0,lilium monadelphum,
Perennial Climber,Lonicera caprifolium,48.0,"[""Organic compost"",""Slow-release granular fertilizer""]",8.0,0.5,lonicera caprifolium,
Herbaceous plant,Lupinus angustifolius,48.0,"[""NPK fertilizer"",""Compost""]",4.0,1.0,lupinus angustifolius,
Perennial,Lysimachia vulgaris,24.0,"[""Organic compost"",""Slow-release granular fertilizer""]",4.0,0.5,lysimachia vulgaris,
Perennial,Lythrum salicaria,24.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,0.5,lyhtrum salicaria,
Perennial,Maianthemum bifolium,48.0,"[""Organic compost"",""Slow-release granular fertilizer""]",8.0,0.2,maianthemum bifolium,
Perennial,Malva alcea,48.0,"[""Compost"",""Organic fertilizer""]",4.0,1.0,malva alcea,
Perennial Flower,Malva Moschata,24.0,"[""Organic compost"",""Slow-release granular fertilizer""]",4.0,0.5,malva moschata,
Herb,Matricaria chamomilla 29,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,0.5,"matricaria chamomilla 29,",
Flowering Plant,Melampyrum sp.,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,1.0,melampyrum sp.,
Legume,Melilotus albus 18,48.0,"[""NPK"",""Compost""]",4.0,0.5,"melilotus albus 18,",
Herb,Mentha x piperita,48.0,"[""Organic compost"",""Liquid seaweed fertilizer""]",4.0,0.5,mentha x piperita,
Mesembryanthemum crystallinum,Mesembryanthemum crystallinum,72.0,"[""All-purpose liquid fertilizer"",""Slow-release granular fertilizer""]",4.0,0.25,mesembryanthemum crystallinum,
Herbaceous Plant,Meum Athamanticum,48.0,"[""Organic compost"",""Balanced NPK fertilizer""]",4.0,0.25,meum athamanticum,
Perennial Herb,Myrrhis Odorata,48.0,"[""Organic compost"",""Fish emulsion"",""Seaweed extract""]",4.0,0.5,myrrhis odorata,
Herb,Ocimum basilicum 37,24.0,"[""NPK fertilizer"",""Organic compost""]",4.0,0.5,"ocimum basilicum 37,",
Biennial,Oenothera biennis,48.0,"[""Organic compost"",""Slow-release granular fertilizer""]",4.0,0.25,oenothera biennis,
Ornamental Plant,Ornithogalum arcuatum,48.0,"[""Liquid fertilizer"",""Slow-release granular fertilizer""]",4.0,2.0,ornithogalum arcuatum,
Flowering Perennial,Ornithogalum candicans,48.0,"[""Organic compost"",""Slow-release granular fertilizer""]",8.0,2.0,ornithogalum candicans,
Perennial,Ovyria Digyna,48.0,"[""Slow-release fertilizer"",""Organic compost""]",4.0,0.5,ovyria digyna,
Perennial,Paeonia anomala,48.0,"[""Organic compost"",""Slow-release fertilizer""]",4.0,2.0,paeonia anomala,
Perennial,Paeonia lactiflora,36.0,"[""Organic compost"",""Bone meal"",""Slow-release granular fertilizer""]",5.0,3.0,paeonia lactiflora,
Perennial,Paeonia Mlokosewitschii,24.0,"[""Organic compost"",""Slow-release granular fertilizer""]",8.0,2.0,paeonia mlokosewitschii,
Herbaceous perennial,Paeonia mollis,48.0,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer"",""Potassium-based fertilizer""]",6.0,1.0,paeonia mollis,
Perennial,Paeonia obovata,48.0,"[""Organic compost"",""Slow-release granular fertilizer""]",4.0,2.0,paeonia obovata,
Perennial,Paeonia officinalis,48.0,"[""Organic compost"",""Slow-release granular fertilizer""]",4.0,2.0,paeonia officinalis,
Perennial,Paeonia Veitchii,60.0,"[""Organic compost"",""Slow-release granular fertilizer""]",5.0,2.5,paeonia veitchii,
Ornamental Grass,Panicum elegans,48.0,"[""NPK 10-10-10"",""Bone meal""]",4.0,1.0,panicum elegans,
Perennial plant,Papaver orientale-ryhmä,36.0,"[""NPK fertilizer"",""Compost""]",5.0,0.75,papaver orientale-ryhmä,
Annual,Papaver rhoas,48.0,"[""NPK 10-10-10"",""Compost""]",4.0,0.2,papaver rhoas,
Flowering plant,Papaver somniferum 23,48.0,"[""NPK fertilizer"",""Organic compost""]",4.0,0.25,"papaver somniferum 23,",
Flowering Plant,Paradisea Liliastrum,48.0,"[""Organic Compost"",""Liquid Fertilizer""]",4.0,1.0,paradisea liliastrum,
Perennial,Parasenecio hastatus,48.0,"[""Organic compost"",""Slow-release granules""]",4.0,0.5,parasenecio hastatus,
Evergreen Coniferous Tree,Pinus peuce,48.0,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer"",""Potassium-based fertilizer""]",8.0,2.0,pinus peuce,
Vegetable,Phaseolus coccineus 29,24.0,"[""NPK fertilizer"",""Compost""]",4.0,2.0,phaseolus coccineus 29.,
Vegetable,Phaseolus vulgaris 29,48.0,"[""NPK"",""compost""]",4.0,2.0,"phaseolus vulgaris 29,",
Shrub,Physocarpus opulifolius,48.0,"[""Slow-release granular fertilizer"",""Compost""]",8.0,4.0,physocarpus opulifolius,
Perennial,Pilosella Aurantica,48.0,"[""Organic compost"",""Slow-release granular fertilizer""]",4.0,1.0,pilosella aurantica,
Vegetable,"Pisum sativum 10, 29, 30, 38",2.5,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer"",""Potassium-based fertilizer""]",2.5,1.5,"pisum sativum 10, 29, 30, 38,",h
Perennial plant,Podophyllum hexandrum,48.0,"[""Organic compost"",""Slow-release granular fertilizer""]",5.0,1.5,podophyllum hexandrum,
Perennial,Polemonium caeruleum,48.0,"[""Organic compost"",""Slow-release granular fertilizer""]",4.0,1.0,polemonium caeruleum,
Perennial,Polymonium Multoforum,48.0,"[""Organic compost"",""Slow-release fertilizer""]",4.0,0.5,polymonium multoforum,
Perennial,Polygonatum Odoratum,48.0,"[""Organic compost"",""Slow-release granular fertilizer""]",8.0,2.0,polygonatum odoratum,
Perennial,Potentilla megalantha,48.0,"[""NPK fertilizer"",""Organic compost""]",4.0,1.0,potentilla megalantha,
Tree,Pterocarya rhoifolia,48.0,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer""]",12.0,2.0,pterocarya rhoifolia,
Flowering Perennial,Pulsatilla Vulgaris,48.0,"[""Organic compost"",""Slow-release granular fertilizer""]",4.0,0.2,pulsatilla vulgaris,
Perennial,Friesianus,24.0,"[""NPK"",""Compost""]",4.0,2.0,friesianus,
Climbing plant,Rhodochiton atrosanguineum,48.0,"[""NPK 10-10-10"",""Organic compost""]",4.0,0.5,rhodochiton atrosanguineum,
Perennial,Rheum × hybridum,48.0,"[""Organic compost"",""Slow-release granular fertilizer""]",4.0,0.5,rheum × hybridum,
Flowering Plant,Rosa 33,48.0,"[""NPK fertilizer"",""compost""]",4.0,1.0,"rosa 33,",
Shrub,Salsola komarowii,60.0,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",5.0,0.5,salsola komarowii,
Perennial Herb,Sagittaria sagittifolia,60.0,"[""NPK fertilizers"",""Organic compost""]",5.0,1.5,sagittaria sagittifolia,
Perennial,Sanguisorba officinalis,48.0,"[""Organic compost"",""Slow-release fertilizer""]",8.0,0.2,sanguisorba officinalis,
Flowering Plant,Parviflora,48.0,"[""NPK fertilizer"",""Organic compost""]",4.0,0.5,parviflora,
Perennial,Saponaria officinalis,48.0,"[""Organic compost"",""Liquid seaweed fertilizer""]",4.0,0.25,saponaria officinalis,
Perennial,Scabiosa Columbaria,48.0,"[""Organic compost"",""Slow-release granular fertilizer""]",8.0,0.5,scabiosa columbaria,
Grain Crop,Secale cereale,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,2.0,secale cereale,
Perennial,Silene dioica,48.0,"[""Organic compost"",""Slow-release granular fertilizer""]",4.0,0.2,silene dioica,
Plant,Sinapsis Alba,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2.0,1.0,sinapsis alba,
Perennial,Smilacina racemosa,48.0,"[""Organic compost"",""Slow-release fertilizer""]",8.0,0.6,smilacina racemosa,
Perennial,Solanum dulcamara,48.0,"[""NPK fertilizer"",""Compost""]",4.0,0.2,solanum dulcamara,
Solanum lycopersicum 31,Solanum lycopersicum 31,24.0,"[""nitrogen-based"",""potassium-based""]",2.0,2.0,"solanum lycopersicum 31,",
Perennial Herb,Solidago Virgaurea,48.0,"[""Organic compost"",""Slow-release granular fertilizer""]",4.0,0.5,solidago virgaurea,
Perennial,Symphyandra Hoffmannii,48.0,"[""Organic compost"",""Slow-release granular fertilizer""]",4.0,0.2,symphyandra hoffmannii,
Perennial,Symphyandra pendula,48.0,"[""NPK fertilizers"",""Organic compost""]",5.0,0.25,symphyandra pendula,
Perennial Herb,Symphytum sp.,48.0,"[""NPK 10-10-10"",""Compost""]",4.0,2.0,symphytum sp.,
Flowering Plant,Tagetes “Linnaeus”,48.0,"[""All-purpose fertilizer"",""Slow-release granular fertilizer""]",4.0,0.5,tagetes “linnaeus”,
Perennial Herbaceous Plant,Tanacetum coccineum,60.0,"[""Organic compost"",""Slow-release fertilizer""]",4.0,0.25,tanacetum coccineum,
Herbaceous perennial,Tanacetum parthenium,48.0,"[""Organic compost"",""Balanced NPK fertilizer""]",4.0,0.5,tanacetum parthenium,
Perennial Herb,Tanacetum vulgare,48.0,"[""Organic compost"",""Liquid seaweed fertilizer""]",4.0,0.25,tanacetum vulgare,
Herbaceous perennial,Taraxacum officinale,48.0,"[""Nitrogen-based"",""Phosphorus-based"",""Potassium-based""]",4.0,0.5,taraxacum officinale,
Perennial Flower,Telekia Speciosa,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,1.0,telekia speciosa,
Perennial,Tellima grandiflora,48.0,"[""Organic compost"",""Slow-release granules""]",8.0,0.2,tellima grandiflora,
Perennial,Thalictrum aquilegiifolium,48.0,"[""Slow-release granular fertilizer"",""Compost"",""Liquid fertilizer""]",4.0,0.2,thalictrum aquilegiifolium,
Perennial,Thalictrum rochebruneanum,48.0,"[""Organic compost"",""Slow-release granular fertilizer""]",6.0,0.5,thalictrum rochebruneanum,
Perennial,Thermopsis Montana,48.0,"[""Organic compost"",""Slow-release granular fertilizer""]",7.0,1.5,thermopsis montana,
Perennial,Tragopogon porrifolius,48.0,"[""Organic compost"",""Liquid seaweed fertilizer""]",4.0,0.5,tragopogon porrifolius,
Flowering Plant,Tragopogon Pratensis,24.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",6.0,0.5,tragopogon pratensis,
Flowering plant,Tricyrtis macropoda,48.0,"[""Organic compost"",""Slow-release balanced fertilizer""]",4.0,0.5,tricyrtis macropoda,
Perennial,Trifolium pratense,36.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",5.0,0.75,trifolium pratense,
Crop,Triticum aestivum 31,24.0,"[""NPK"",""Compost""]",4.0,2.0,"triticum aestivum 31,",
Cereal,Triticum dicoccon,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",5.0,2.0,triticum dicoccon,
Grain Crop,Triticum monococcum 29,24.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,2.0,"triticum monococcum 29,",
Cereal,Triticum Spelta,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,2.0,triticum spelta,
Vegetable,Oleracea,24.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2.0,2.0,oleracea,
Perennial,Veratrum nigrum,72.0,"[""Compost"",""Organic Mulch""]",4.0,0.5,veratrum nigrum,
Perennial,Verbascum phoeniceum,24.0,"[""Organic compost"",""General-purpose liquid fertilizer""]",4.0,0.2,verbascum phoeniceum,
Herbaceous perennial,Verbascum thapsus,60.0,"[""Nitrogen-based"",""Potassium-based""]",5.0,0.375,verbascum thapsus,
Perennial,Veronica gentianoides,48.0,"[""Compost"",""Organic slow-release fertilizer""]",4.0,0.2,veronica gentianoides,
Perennial,Veronica Longifolia,48.0,"[""Organic compost"",""Liquid fertilizer""]",8.0,0.5,veronica longifolia,
Perennial,Veronicastrum sibiricum,48.0,"[""NPK"",""Compost""]",4.0,0.5,veronicastrum sibiricum,
Perennial,Zigadenus elegans,48.0,"[""Organic compost"",""Slow-release granular fertilizer""]",5.0,0.5,zigadenus elegans,
Flowering Plant,Amabile,48.0,"[""NPK fertilizer"",""Compost""]",4.0,1.0,amabile,
Amiva,Amiva seed,48.0,"[""NPK fertilizer"",""Organic compost""]",4.0,2.0,amiva,
Flowering Plant,Athos,48.0,"[""NPK 10-10-10"",""Compost"",""Fish Emulsion""]",4.0,0.5,athos,
Winter Plant,Winter Seed,48.0,"[""NPK"",""Compost"",""Fish Emulsion""]",4.0,1.0,winter,
Flowering plant,Boccia,48.0,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer""]",4.0,2.0,boccia,
Flowering Plant,Bogus,48.0,"[""NPK"",""Compost""]",4.0,2.0,bogus,
Flowering plant,Bollin,48.0,"[""NPK 10-10-10"",""Compost""]",4.0,2.0,bollin,
Flowering plant,Cleopha,48.0,"[""NPK fertilizers"",""Organic compost""]",4.0,0.5,cleopha,
Vegetable,Cubo,48.0,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",4.0,1.0,cubo,
Flowering plant,Damaun,24.0,"[""NPK"",""Compost"",""Mulch""]",4.0,2.0,damaun,
Flowering Plant,Dario,48.0,"[""NPK"",""Compost""]",4.0,1.0,dario,
Flowering plant,Dolciva,48.0,"[""NPK fertilizer"",""Organic compost""]",5.0,0.5,dolciva,
Vegetable,Dottenfelder,48.0,"[""NPK"",""Organic compost""]",4.0,0.5,dottenfelder,
Flowering Plant,Enrico,48.0,"[""nitrogen-based fertilizer"",""phosphorous-based fertilizer"",""potassium-based fertilizer""]",4.0,2.0,enrico,
Vegetable,Freezo,6.0,"[""NPK fertilizer"",""Organic compost""]",4.0,2.0,freezo,
Flowering Plant,Gesche,48.0,"[""NPK"",""Organic Fertilizers""]",4.0,2.0,gesche,
Flowering Plant,Haldor,48.0,"[""NPK fertilizers"",""Organic compost""]",4.0,0.5,haldor,
Flowering plant,Kolibri,48.0,"[""NPK fertilizer"",""Compost""]",4.0,0.5,kolibri,
Flowering Plant,Lady's Slipper Orchid,48.0,"[""Orchid fertilizer"",""Slow-release granules""]",4.0,0.5,lady,
